Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Ratio
37.814,143.882,BD04,0,28.2,,0.078049,,
37.814,143.882,BD04,10,27.984,34.075001,0.029268,,
37.814,143.882,BD04,25,24.742,34.5,0.029268,0.195122,149.99846250038436
37.814,143.882,BD04,41,22.344,34.705002,0.341463,0.253659,1346.1497522264142
37.814,143.882,BD04,50,21.596,34.752998,1.853659,0.331707,5588.242032878414
37.814,143.882,BD04,99,18.633,34.737999,4.995122,0.481854,10366.463700623011
37.814,143.882,BD04,149,16.463,34.659,7.346342,0.496585,14793.72514272481
37.814,143.882,BD04,199,13.836,34.5,1.95122,0.526244,3707.8237471591124
37.814,143.882,BD04,397,8.835,34.277,25.043903,0.748293,33468.04393466195
40.8337,150.00101,BD05,0,23.8,,0.653659,,
40.8337,150.00101,BD05,10,18.046,33.077999,0.22439,0.075805,2960.094980542181
40.8337,150.00101,BD05,26,8.254,32.874001,9.365853,0.09639,97166.23093681916
40.8337,150.00101,BD05,36,4.242,32.972,14.595122,,
40.8337,150.00101,BD05,38,,,,0.085366,
40.8337,150.00101,BD05,49,,,,0.182244,
40.8337,150.00101,BD05,51,2.092,33.055,21.902439,,
40.8337,150.00101,BD05,99,1.47,33.191002,25.190245,,
40.8337,150.00101,BD05,100,,,,0.34878,
40.8337,150.00101,BD05,150,1.457,33.317001,28.497561,0.499024,57106.59407162782
40.8337,150.00101,BD05,198,,,,0.648683,
40.8337,150.00101,BD05,199,1.737,33.433998,31.590244,,
40.8337,150.00101,BD05,396,3.229,33.924,39.72683,1.277561,31095.83808522646
44.0027,155.0,BD06,0,17.8,,6.341464,,
44.0027,155.0,BD06,9,,,,0.116098,
44.0027,155.0,BD06,11,15.747,32.450001,6.585366,,
44.0027,155.0,BD06,22,8.653,32.804001,11.648781,0.084683,137557.49087774404
44.0027,155.0,BD06,24,8.315,32.821999,12.204878,0.095902,127264.06122917145
44.0027,155.0,BD06,49,3.682,32.965,17.609756,0.073463,239709.18693764208
44.0027,155.0,BD06,99,1.146,33.118,25.131706,0.221561,113430.18852595899
44.0027,155.0,BD06,198,3.039,33.733002,39.07317,0.746537,52339.22766051783
44.0027,155.0,BD06,298,3.363,33.948002,41.687805,,
44.0027,155.0,BD06,395,3.349,34.077,41.52195,1.022829,40595.20213056141
50.3948,204.004,BD16,0,11.2,,11.160976,,
50.3948,204.004,BD16,9,11.312,32.379002,11.229268,,
50.3948,204.004,BD16,10,,,,0.071049,
50.3948,204.004,BD16,25,11.24,32.376999,11.160976,0.070951,157305.40795760456
50.3948,204.004,BD16,37,6.7,32.57,13.443902,0.072524,185371.76658761236
50.3948,204.004,BD16,49,,,,0.069146,
50.3948,204.004,BD16,50,4.794,32.665001,15.756098,,
50.3948,204.004,BD16,100,3.487,32.750999,20.409756,0.108232,188574.13703895337
50.3948,204.004,BD16,148,3.407,33.612999,35.765854,0.456744,78306.12772143696
50.3948,204.004,BD16,198,3.641,33.799,40.058537,0.592488,67610.71447860549
50.3948,204.004,BD16,297,3.715,33.964001,41.834148,,
50.3948,204.004,BD16,396,3.662,34.074001,41.082928,0.719939,57064.456849816444
50.8335,199.83,BD15,0,11.8,,7.053658,,
50.8335,199.83,BD15,5,10.451,32.425999,7.02439,,
50.8335,199.83,BD15,10,10.439,32.458,7.043902,0.107317,65636.40429754839
50.8335,199.83,BD15,14,10.479,32.443001,7.082927,,
50.8335,199.83,BD15,15,,,,0.062,
50.8335,199.83,BD15,25,10.339,32.487999,7.043902,0.109,64622.95412844037
50.8335,199.83,BD15,49,,,,0.109,
50.8335,199.83,BD15,50,5.006,32.694,12.556098,,
50.8335,199.83,BD15,98,,,,0.374,
50.8335,199.83,BD15,99,3.565,33.346001,31.795122,,
50.8335,199.83,BD15,148,3.715,33.755001,38.946342,,
50.8335,199.83,BD15,149,,,,0.742,
50.8335,199.83,BD15,197,3.797,33.884998,41.590244,0.801,51922.90137328339
50.8335,199.83,BD15,298,3.758,34.021999,42.185368,,
50.8335,199.83,BD15,395,,,,0.943,
50.8335,199.83,BD15,396,3.684,34.115002,42.156097,,
